image_name;class_name;image_path;label;partition_name 
glass417.jpg;glass;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/glass/glass417.jpg;1;train
metal357.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal357.jpg;2;train
metal63.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal63.jpg;2;train
plastic92.jpg;plastic;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/plastic/plastic92.jpg;4;train
cardboard313.jpg;cardboard;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/cardboard/cardboard313.jpg;0;train
plastic427.jpg;plastic;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/plastic/plastic427.jpg;4;train
metal298.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal298.jpg;2;train
plastic270.jpg;plastic;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/plastic/plastic270.jpg;4;train
glass240.jpg;glass;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/glass/glass240.jpg;1;train
paper566.jpg;paper;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/paper/paper566.jpg;3;train
trash47.jpg;trash;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/trash/trash47.jpg;5;train
glass446.jpg;glass;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/glass/glass446.jpg;1;train
paper555.jpg;paper;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/paper/paper555.jpg;3;train
metal8.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal8.jpg;2;train
paper396.jpg;paper;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/paper/paper396.jpg;3;train
glass242.jpg;glass;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/glass/glass242.jpg;1;train
metal184.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal184.jpg;2;train
plastic241.jpg;plastic;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/plastic/plastic241.jpg;4;train
glass492.jpg;glass;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/glass/glass492.jpg;1;train
glass233.jpg;glass;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/glass/glass233.jpg;1;train
metal51.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal51.jpg;2;train
paper329.jpg;paper;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/paper/paper329.jpg;3;train
metal276.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal276.jpg;2;train
plastic385.jpg;plastic;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/plastic/plastic385.jpg;4;train
plastic17.jpg;plastic;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/plastic/plastic17.jpg;4;train
metal364.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal364.jpg;2;train
plastic158.jpg;plastic;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/plastic/plastic158.jpg;4;train
cardboard34.jpg;cardboard;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/cardboard/cardboard34.jpg;0;train
glass259.jpg;glass;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/glass/glass259.jpg;1;train
metal172.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal172.jpg;2;train
paper579.jpg;paper;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/paper/paper579.jpg;3;train
metal1.jpg;metal;/kaggle/input/garbage-classification/Garbage classification/Garbage classification/metal/metal1.jpg;2;train
